,Name,Address,Metro,Rating,Money
107,Простые вещи New Vintage,"1-я Брестская, 41","Белорусская, Маяковская",8.6,2
108,Обломов,"1-й Монетчиковский пер., 5","Новокузнецкая, Добрынинская, Павелецкая, Третьяковская, Полянка, Серпуховская",8.6,4
109,Шотландская клетка,"Сретенка, 27/29",Сухаревская,8.6,3
110,Bổ,"Мытная, 74, фуд-корт Даниловского рынка",Тульская,8.6,1
111,Martinez,"Сретенка, 1","Чистые пруды, Тургеневская, Сретенский бульвар",8.6,3
112,Tehnikum,"Б.Дмитровка, 7/5, стр. 2","Охотный Ряд, Театральная, Площадь Революции",8.6,2
113,Рецептор,"Чистопрудный б-р, 23, стр. 2","Чистые пруды, Тургеневская, Сретенский бульвар",8.5,2
114,Meatless,"Тверская, 20, стр. 1","Тверская, Пушкинская, Чеховская",8.5,2
115,Чайная высота,"Покровка, 27, стр. 1","Чистые пруды, Тургеневская, Китай-город, Сретенский бульвар",8.5,1
116,Marketplace,"Мясницкая, 13, стр. 3","Чистые пруды, Тургеневская, Сретенский бульвар",8.5,1
117,Beer & Brut,"Покровка, 26/1","Чистые пруды, Курская, Тургеневская, Китай-город, Сретенский бульвар, Чкаловская",8.5,2
118,Dr. Живаго,"Моховая, 15, гостиница «Националь», 1 этаж","Охотный Ряд, Театральная, Площадь Революции",8.5,3
119,Pivbar,"1-я Тверская-Ямская, 2, стр. 1",Маяковская,8.5,2
120,Хитрые люди,"4-й Сыромятнический пер., 1/8, стр. 10, ЦСИ «Винзавод»","Курская, Чкаловская",8.5,2
121,Семифреддо,"Тимура Фрунзе, 11, стр. 55",Парк культуры,8.5,4
122,Hills,"Крылатские Холмы, 7, корп. 2","Крылатское, Молодежная",8.5,3
123,Никуда не едем,"Рочдельская, 15, стр. 8, БЦ «Трехгорная мануфактура»",Улица 1905 года,8.5,3
124,Марукамэ,"Сущевская, 27, стр. 2, БК «Атмосфера»","Новослободская, Менделеевская",8.5,1
125,Колбасофф,"Маршала Бирюзова, 32, ТРЦ «Пятая авеню», 3 уровень",Октябрьское Поле,8.5,2
126,Чайковский,"Триумфальная пл., 4/31, в здании Концертного зала им. Чайковского",Маяковская,8.5,3
127,Иерусалим,"Б.Бронная, 6, стр. 3","Тверская, Пушкинская, Чеховская",8.5,2
