,Name,Address,Metro,Rating,Money,lat,lng,District
121,Семифреддо,"Тимура Фрунзе, 11, стр. 55",Парк культуры,8.5,4.0,55.73515,37.586634,Хамовники
122,Hills,"Крылатские Холмы, 7, корп. 2","Крылатское, Молодежная",8.5,3.0,55.748782,37.422988,Крылатское
123,Никуда не едем,"Рочдельская, 15, стр. 8, БЦ «Трехгорная мануфактура»",Улица 1905 года,8.5,3.0,55.756802,37.564751,Пресненский
124,Марукамэ,"Сущевская, 27, стр. 2, БК «Атмосфера»","Новослободская, Менделеевская",8.5,1.0,,,
125,Колбасофф,"Маршала Бирюзова, 32, ТРЦ «Пятая авеню», 3 уровень",Октябрьское Поле,8.5,2.0,55.799588,37.483023,Щукино
126,Чайковский,"Триумфальная пл., 4/31, в здании Концертного зала им. Чайковского",Маяковская,8.5,3.0,55.768765,37.595941,Тверской
127,Иерусалим,"Б.Бронная, 6, стр. 3","Тверская, Пушкинская, Чеховская",8.5,2.0,55.760221,37.598151,Пресненский
128,Friends & Family,"Ленинская Слобода, 26",Автозаводская,8.5,2.0,55.710124,37.654601,Даниловский
129,Кимчи,"Бутырский Вал, 5, БЦ «Ямская-центр», 1 этаж",Белорусская,8.5,2.0,55.778558,37.584568,Тверской
130,Andiamo,"Строителей, 4, стр. 2",Университет,8.5,3.0,55.687096,37.5357,Гагаринский
131,Adri BBQ Wine,"Лесная, 7, БЦ «Белые сады»",Белорусская,8.5,3.0,55.778669,37.587964,Тверской
132,Mushrooms,"Б.Якиманка, 22, ТЦ «Гименей», 2 этаж",Полянка,8.5,3.0,55.738216,37.614545,Якиманка
133,The Tipsy Pub,"Сущевская, 9","Новослободская, Менделеевская",8.4,2.0,55.780552,37.601591,Тверской
134,Rumor Bar,"Покровка, 21–23/25, стр. 1","Чистые пруды, Тургеневская, Сретенский бульвар",8.4,2.0,55.759689,37.64719,Басманный
135,Fruits & Veges,"Ниж.Сыромятническая, 10, стр. 12, центр дизайна Artplay","Курская, Чкаловская",8.4,1.0,,,
136,Rico,"Ружейный пер., 6, стр. 1",Смоленская,8.4,3.0,55.743958,37.581056,Хамовники
137,Correa's,"Б.Ордынка, 40, стр. 2","Новокузнецкая, Третьяковская, Полянка",8.4,2.0,55.736184,37.622971,Якиманка
138,Турандот,"Тверской б-р, 26, стр. 3","Тверская, Пушкинская, Чеховская",8.4,4.0,55.763336,37.604628,Тверской
139,Человек и пароход,"Мытная, 74, фуд-корт Даниловского рынка",Тульская,8.4,1.0,,,
140,BBcafé,"Скатертный пер., 13",Арбатская,8.4,2.0,55.755753,37.594647,Пресненский
141,Powerhouse,"Гончарная, 7/4","Таганская, Марксистская",8.4,2.0,57.04952,34.952235,
142,Ароматная река,"наб. Академика Туполева, 15, стр. 2",Бауманская,8.4,2.0,55.762186,37.681182,Басманный
143,Moments,"Татарская, 7",Павелецкая,8.4,2.0,50.465713,30.485731,
144,BB & Burgers,"56-й км МКАД, ТРЦ «Vegas Кунцево»","Молодежная, Кунцевская",,1.0,55.74261,37.398482,Кунцево
145,BB & Burgers,"М.Дмитровка, 4","Тверская, Пушкинская, Чеховская",,1.0,55.767296,37.60673,Тверской
146,BB & Burgers,"Мясницкая, 18","Лубянка, Кузнецкий Мост",,1.0,55.761138,37.632727,Басманный
147,BB & Burgers,"Ходынский б-р, 4, ТРЦ «Авиапарк», 3 этаж","Аэропорт, Динамо, Полежаевская, Хорошево, Хорошевская, Петровский парк",,1.0,55.790464,37.530409,Хорошёвский
148,BB & Burgers,"1-я Тверская-Ямская, 4",Маяковская,,1.0,55.771428,37.594234,Тверской
149,BBC,"Б.Новодмитровская, 12, стр. 16",Савеловская,,2.0,55.798308,37.585287,Бутырский
150,BBFan 24,"Мясницкая, 24/7, стр. 1","Чистые пруды, Тургеневская, Сретенский бульвар",,2.0,55.762444,37.635593,Басманный
151,BB Grill,"Автозаводская, 18, ТРЦ «Ривьера»",,,3.0,55.705452,37.637749,Даниловский
152,BBQ Land,"66-й км МКАД, пересечение с Волоколамским ш., ТРЦ «Vegas Крокус-сити», 3 этаж",Мякинино,,1.0,55.814836,37.39046,Строгино
153,Bear Burgers,"Преображенская пл., 12",Преображенская площадь,,1.0,55.794264,37.713818,Преображенское
154,Beasty Burgers,"Паромная, 11/31",Алма-Атинская,,1.0,55.635736,37.764097,Братеево
155,Beaumonde Lounge,"Никольская, 25, ТЦ «Наутилус»","Лубянка, Кузнецкий Мост",,3.0,55.759091,37.624777,Тверской
156,Beaver Bar,"Усиевича, 12/14",Аэропорт,,2.0,55.806322,37.52828,Аэропорт
157,Bébé de la mer,"Петровка, 30/7","Тверская, Пушкинская, Цветной бульвар, Чеховская, Трубная",,3.0,55.768071,37.614401,Тверской
158,Beef & Beer,"Петрозаводская, 11, корп. 1",Речной вокзал,,2.0,55.865909,37.49435,Ховрино
